/root/miniconda3/lib/python3.10/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-04-18 10:28:46,489 fflow.py init [line:848] INFO PROCESS ID:	122266
2026-04-18 10:28:46,489 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-04-18 10:28:46,489 fflow.py init [line:852] INFO BENCHMARK:	benchmark.office_caltech10_classification
2026-04-18 10:28:46,490 fflow.py init [line:853] INFO TASK:			task/office_caltech10_c4
2026-04-18 10:28:46,490 fflow.py init [line:854] INFO MODEL:		algorithm.feddsa_scheduled
2026-04-18 10:28:46,490 fflow.py init [line:855] INFO ALGORITHM:	feddsa_scheduled
2026-04-18 10:28:46,492 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'algorithm.feddsa_scheduled.Server'>, 4 <class 'algorithm.feddsa_scheduled.Client'>
2026-04-18 10:28:46,910 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-04-18 10:28:46,912 fflow.py init [line:931] INFO Ready to start.
2026-04-18 10:28:46,912 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-04-18 10:28:48,596 __init__.py log_once [line:227] INFO local_val_accuracy            0.1153
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO mean_local_val_accuracy       0.0963
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO std_local_val_accuracy        0.0292
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO min_local_val_accuracy        0.0667
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO max_local_val_accuracy        0.1339
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO local_val_loss                2.3005
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO mean_local_val_loss           2.2986
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO std_local_val_loss            0.0041
2026-04-18 10:28:48,597 __init__.py log_once [line:227] INFO min_local_val_loss            2.2915
2026-04-18 10:28:48,598 __init__.py log_once [line:227] INFO max_local_val_loss            2.3015
